country,Groups Phase,Round of 16,Quarter-finals,Semi-finals,Final
FIN, 2297, 0, 0, 0, 0
PRT, 1123, 2325, 0, 0, 0
ITA, 1403, 2418, 970, 2418, 1209
WAL, 6220, 3631, 0, 0, 0
CHE, 12441, 2273, 2346, 0, 0
TUR, 6220, 0, 0, 0, 0
BEL, 9277, 3369, 603, 0, 0
DNK, 240, 1292, 6414, 977, 0
RUS, 4011, 0, 0, 0, 0
NLD, 234, 1112, 0, 0, 0
AUT, 6166, 901, 0, 0, 0
UKR, 3576, 4958, 1136, 0, 0
MKD, 1788, 0, 0, 0, 0
ENG, 613, 204, 3057, 204, 102
HRV, 9422, 1180, 0, 0, 0
CZE, 7667, 888, 2946, 0, 0
SCO, 1375, 0, 0, 0, 0
SWE, 9549, 1006, 0, 0, 0
ESP,  2343, 4144, 6383, 1256, 0
SVK, 3579, 0, 0, 0, 0
POL, 8101, 0, 0, 0, 0
FRA, 6535, 1899, 0, 0, 0
DEU, 996, 809, 0, 0, 0
HUN, 614, 0, 0, 0, 0
